System Name,,,Quality,,,,,,,Affordability,,,Accessiblity/Reliability,,,,,,,TMF,,,,,,Governance,,,,,,Average,
,PWSID,No MCLs or M&Rs in Last 10 Years (1 is Yes),10 Year MCLs,10 Year M&Rs,2+ MCLs in last 5 years (1) or 1 MCL (2),5 Year MCLs,3+ (1) or 1+ (2) M and R in last 5 years,5+ (1) or 1+ (2) M and R in last 5 years,5 Year M&Rs,Bill Total,% of Avg,Small System AND Production Insufficient,Jan 2017 55GPCD,July 2017 55GPCD,2017 Well Levels,2017 Projected Shortages,Primary Water Source,2013 Contaminated Groundwater,Year of Operating Ratio Listed (most recent data available),Operating Ratio,Required Operator Level,Operator Below Required,No operator,Highest Trained Operator Level (2015),Shared Operators (Y/N),Governance Code,Small or Large CWS,Distribution System Issues,News of Mismanagement or Extreme Quality Concerns,Edited OR,Year of Operating Ratio Listed (most recent data available),Average,Years
"POMONA - CITY, WATER DEPT",CA1910126,1,0,0,,0,,,0,42.23,0.668196203,,,,,,2,2,2017,0.822,T5,,,T5,N,1,Large,,,0.822,2017,0.995327948,2015-2017
QUARTZ HILL WATER DISTRICT,CA1910130,1,0,0,,0,,,0,46.18,0.730696203,,1,1,1,1,3,3,2016,1.153,T2,,,T2,N,5,Large,,,1.153,2016,1.006350976,2015-2017
REESEDALE MUTUAL WATER COMPANY,CA1900145,,0,2,,0,2,2,2,,0,,1,1,1,1,1,0,2005,0.654,None,,Yes,None,N,3,Small,,,0.654,2005,0.99345573,2015-2017
RIVERS END TRAILER PARK,CA1900868,,1,19,2,1,2,2,2,,0,1,2,2,1,1,1,0,,NA,,,,,,6,Small,,,NA,,,
ROWLAND WATER DISTRICT,CA1910194,1,0,0,,0,,,0,83.6,1.32278481,,1,1,4,1,3,0,2016,0.93,None,,,T2,N,5,Large,,,0.93,2016,,
RUBIO CANON LAND & WATER ASSOCIATION,CA1910140,1,0,0,,0,,,0,62.95,0.996044304,,1,1,1,1,2,0,2016,0.775,T3,,,T3,N,3,Large,,,0.775,2016,1.015973139,2015-2017
RURBAN HOMES MUTUAL WATER COMPANY,CA1910141,1,0,0,,0,,,0,,0,,1,1,3,2,1,0,2016,0.505,Any Level,,,T3,Y,3,Small,,,0.505,2016,1.294447709,2014-2016
"SAN FERNANDO-CITY, WATER DEPT.",CA1910143,1,0,0,,0,,,0,37.73,0.596993671,,,,,,3,2,2017,0.854,D3,,,T2,N,1,Large,,,0.854,2017,1.827161625,2014-2016
SAN GABRIEL COUNTY WATER DISTRICT,CA1910144,1,0,0,,0,,,0,46.38,0.733860759,,1,1,3,1,1,1,2016,1.011,Any Level,,,T3,N,5,Large,,,1.011,2016,1.153372743,2015-2017
San Gabriel Valley Water Co- Montebello,CA1910189,,0,4,,0,2,2,2,68.46,1.083227848,,2,1,,,4,0,,NA,None,,,T4,Y,4,Large,,,NA,,1.19592388,2015-2017
SAN GABRIEL VALLEY WATER CO-EL MONTE,CA1910039,1,0,0,,0,,,0,68.3,1.080696203,,1,1,,,1,1,,NA,T5,Yes,,T4,Y,4,Large,,,NA,,,
Santa Clarita Valley W.A - PINETREE,CA1910250,1,0,0,,0,,,0,49.44,0.782278481,,1,1,2,1,3,2,,,Any Level,,,T3,Y,5,Large,,,NA,,,
Santa Clarita Valley W.A- CASTAIC,CA1910247,1,0,0,,0,,,0,45.28,0.716455696,,1,1,2,1,3,0,,,T2,,,T3,Y,5,Large,,,NA,,,
Santa Clarita Valley W.A- Santa Clarita,CA1910017,1,0,0,,0,,,0,45.28,0.716455696,,1,1,,,3,3,,,T2,,,T2,N,5,Large,,,NA,,,
Santa Clarita Valley W.A- TESORO DEL VALLE,CA1910255,1,0,0,,0,,,0,49.44,0.782278481,,1,1,4,1,3,0,,,None,,,T3,Y,5,Large,,,NA,,,
Santa Clarita Valley W.A- Valencia,CA1910240,1,0,0,,0,,,0,35.88,0.567721519,,1,1,,,3,1,,,T1,,,T2,N,5,Large,,,NA,,,
Santa Clarita Valley W.A-NEWHALL,CA1910096,1,0,0,,0,,,0,49.44,0.782278481,,1,1,2,1,3,0,,,Any Level,,,T3,Y,5,Large,,,NA,,,
Santa Clarita Valley W.A.- Imported Division,CA1910048,,0,3,,0,2,2,1,,0,,1,1,2,1,2,0,,,,,,,,5,Large,,,NA,,,
"SANTA FE SPRINGS- CITY, WATER DEPT",CA1910245,,0,2,,0,,,0,50.44,0.798101266,,,,,,3,3,2017,0.774,Any Level,,,T3,N,1,Large,,,0.774,2017,,
"SANTA MONICA-CITY, WATER DIVISION",CA1910146,1,0,0,,0,,,0,49.88,0.789240506,,,,,,3,3,2017,0.955,T4,,,T4,N,1,Large,,,0.955,2017,1.168433722,"2014-2015, 2017"
SATIVA-L.A. COUNTY WATER DISTRICT,CA1910147,,0,3,,0,1,2,3,,0,,,,,,1,0,2016,1.054,Any Level,,,T3,N,2,Large,1,1,1.054,2016,1.044168109,2015-2017
SHADOW ACRES MUTUAL WATER COMPANY,CA1900301,,0,2,,0,2,2,2,,0,,,,,,1,0,2016,0.909,None,,,T2,Y,3,Small,,,0.909,2016,,
SHERWOOD MOBILE HOME PARK,CA1900907,,0,3,,0,2,2,1,,0,,,,1,1,1,0,,NA,T1,,,T2,Y,6,Small,,,NA,,0.9438794,2014-2016
"SIERRA MADRE-CITY, WATER DEPT",CA1910148,,1,0,,0,,,0,75.85,1.200158228,,,,,,1,1,2017,0.828,T2,,,T2,N,1,Large,1,,0.828,2017,,
"SIGNAL HILL - CITY, WATER DEPT",CA1910149,,0,1,,0,2,2,1,42.37,0.670411392,,,,,,3,2,2017,1.349,T2,,,T3,Y,1,Large,,,1.349,2017,1.01470757,2015-2017
SLEEPY VALLEY WATER COMPANY INC,CA1900903,,0,1,,0,2,2,1,,0,1,2,1,3,2,1,0,2016,0.882,None,,Yes,None,N,3,Small,,,0.882,2016,0.932215321,2015-2017
SO. CAL. EDISON CO.-SANTA CATALINA,CA1910006,,0,1,,0,2,2,1,,0,,2,1,3,1,2,0,,NA,T2,,,T3,N,4,Large,,,NA,,0.957538191,2014-2016
"SOUTH GATE-CITY, WATER DEPT",CA1910152,,1,7,,0,1,1,7,73.88,1.168987342,,,,,,1,1,,NA,T2,,,T3,N,1,Large,,,NA,,,
SOUTH MONTEBELLO IRRIGATION DIST.,CA1910153,,1,0,,0,,,0,63.22,1.000316456,,1,1,1,1,1,1,2016,0.784,T2,,,T2,N,7,Large,,,0.784,2016,,
SPV WATER COMPANY INC,CA1907028,1,0,0,,0,,,0,,0,,1,1,1,2,1,0,,NA,T1,Yes,,None,N,8,Small,,,NA,,1.297278513,2015-2017
STERLING MUTUAL WATER COMPANY,CA1910158,,0,5,,0,2,2,1,,0,,,1,1,2,1,0,2016,0.585,None,,Yes,None,N,3,Small,,,0.585,2016,,
SUBURBAN WATER SYSTEMS-COVINA KNOLLS,CA1910200,1,0,0,,0,,,0,52.81,0.835601266,,1,1,4,1,3,0,2017,0.624,None,,,T4,Y,4,Small,,,NA,,1.19722933,2014-2016
SUBURBAN WATER SYSTEMS-GLENDORA,CA1910046,1,0,0,,0,,,0,52.81,0.835601266,,1,1,4,1,3,0,,,None,,,T2,Y,4,Large,,,NA,,,
SUBURBAN WATER SYSTEMS-LA MIRADA,CA1910059,1,0,0,,0,,,0,58.44,0.924683544,,1,1,1,1,1,0,,,T2,,,T4,Y,4,Large,,,NA,,,
SUBURBAN WATER SYSTEMS-SAN JOSE,CA1910205,1,0,0,,0,,,0,52.81,0.835601266,,1,1,1,1,3,1,,,T4,,,T4,Y,4,Large,,,NA,,,
SUBURBAN WATER SYSTEMS-WHITTIER,CA1910174,1,0,0,,0,,,0,58.44,0.924683544,,1,1,1,1,1,0,,,Any Level,,,T4,Y,4,Large,,,NA,,,
"SUNDALE MUTUAL WATER COMPANY A, B",CA1900563,,0,2,,0,2,2,1,65,1.028481013,,,,,,1,0,2016,0.788,None,,,T2,N,3,Small,,,0.788,2016,,
SUNNY SLOPE WATER COMPANY,CA1910157,1,0,0,,0,,,0,44.55,0.704905063,,1,1,1,1,1,1,2017,0.713,T2,,,T3,N,3,Large,,,0.713,2017,1.161786483,2014-2016
SUNNYSIDE FARMS MUTUAL WATER COMPANY,CA1900146,,0,1,,0,2,2,1,,0,,1,1,1,1,1,0,2016,1.051,None,,,T2,Y,3,Small,,,1.051,2016,1.328320373,2015-2017
Terra Nova Mobile Home Park,CA1900721,1,0,0,,0,,,0,,,,1,1,2,1,1,,,,T1,,,T2,Y,6,Small,,,,,,
THE OAKS,CA1900976,,2,2,1,2,2,2,2,,0,,,,,,1,0,,NA,None,,Yes,None,N,9,Small,,,NA,,1.091853897,2014-2016
The Painted Turtle Camp,CA1900074,,0,3,,0,1,2,3,,0,,1,1,1,1,1,0,,NA,Unavailable ,,,D2,Y,9,Small,,,NA,,,
THE RIVER COMMUNITY,CA1900616,,0,6,,0,1,2,3,,0,,1,,,1,1,0,,NA,None,,,T2,N,9,Small,,,NA,,,
THE VILLAGE MOBILE HOME PARK,CA1900520,,16,4,1,16,1,2,4,,0,,1,1,1,1,1,0,,NA,T1,,,T2,Y,6,Small,,,NA,,,
TIERRA BONITA MUTUAL WATER COMPANY,CA1900154,,2,2,,0,2,2,2,,0,,1,1,1,1,1,0,,NA,None,,,T2,Y,3,Small,,,NA,,1.029275782,2015-2017
"TORRANCE-CITY, WATER DEPT",CA1910213,,0,5,,0,,,0,55.02,0.87056962,,,,,,3,0,2017,0.959,T2,,,T2,N,1,Large,,,0.959,2017,,
TRACT 180 MUTUAL WATER COMPANY,CA1910159,,1,1,2,1,2,2,1,52.48,0.830379747,,1,1,1,1,1,0,2016,0.869,Any Level,,,T2,N,3,Large,,,0.869,2016,1.054242603,2015-2017
TRACT 349 MUTUAL WATER COMPANY,CA1910160,1,0,0,,0,,,0,,0,,1,1,1,1,1,0,2016,0.76,Any Level,,,T2,N,3,Small,,,0.76,2016,1.125431049,2014-2016
VALENCIA HEIGHTS WATER COMPANY,CA1910163,1,0,0,,0,,,0,50.78,0.803481013,,,,,,3,2,2016,0.867,T2,,,T3,N,3,Large,,,0.867,2016,1.162503415,2014-2016
VALHALLA WATER ASSOCIATION,CA1900599,,2,12,1,2,1,2,4,,0,,1,1,1,1,1,0,,NA,None,,Yes,None,N,9,Small,,,NA,,1.147400626,2014-2016
VALLEY COUNTY WATER DISTRICT,CA1910009,1,0,0,,0,,,0,34.11,0.53971519,,1,1,1,1,1,4,2016,1.08,T5,,,T5,N,5,Large,,,1.08,2016,,
VALLEY VIEW MUTUAL WATER COMPANY,CA1910165,1,0,0,,0,,,0,,0,,1,1,1,1,1,0,2016,1.002,Any Level,,,T1,N,3,Large,,,1.002,2016,1.000711039,2015-2017
VALLEY WATER COMPANY,CA1910166,1,0,0,,0,,,0,,0,,1,1,1,1,3,3,2017,0.343,T3,,,T3,N,3,Large,,,0.343,2017,1.123752008,2014-2016
"VERNON-CITY, WATER DEPT",CA1910167,1,0,0,,0,,,0,34.7,0.549050633,,,,,,3,0,2017,0.805,T1,,,T2,N,1,Large,,,0.805,2017,1.665309519,2015-2017
WALNUT PARK MUTUAL WATER CO,CA1910169,,0,1,,0,2,2,1,47.8,0.756329114,,2,1,1,1,1,0,2016,0.775,Any Level,,,T2,Y,3,Large,,,0.775,2016,1.17540436,2015-2017
WALNUT VALLEY WATER DISTRICT,CA1910234,1,0,0,,0,,,0,59.78,0.945886076,,1,1,4,1,3,0,2016,1.054,None,,,T2,N,5,Large,,,1.054,2016,1.246385233,2015-2017
WEST VALLEY COUNTY WATER DISTRICT,CA1909006,,1,0,,0,,,0,48.11,0.761234177,1,2,1,1,1,1,0,2016,1.477,Any Level,Yes,,None,N,5,Small,,,1.477,2016,1.006266657,2015-2017
WESTERN SKIES MOBILE HOME PARK,CA1900541,1,0,0,,0,,,0,,0,1,2,1,1,1,1,0,,NA,None,,,T2,Y,6,Small,,,NA,,0.738342132,2015-2017
Westside Park Mutual Water,CA1900102,,0,1,,0,2,2,1,,0,,1,1,1,1,1,0,2015,1.186,T1,,,T2,Y,3,Small,,,1.186,2015,,
WHITE FENCE FARMS MUTUAL WATER CO,CA1910249,,1,22,,0,2,2,1,,0,,1,1,,,3,4,2016,1,T2,,,T2,Y,3,Small,,,1,2016,1.050006657,2015-2017
WHITE FENCE FARMS MUTUAL WC NO.3,CA1900523,,0,16,,0,,,0,,0,,1,1,1,1,3,3,2016,0.94,Any Level,,,T2,N,3,Small,,,0.94,2016,1.010040309,2014-2016
WHITE ROCK LAKE RV PARK,CA1900975,,4,2,1,4,2,2,2,,0,,,,,,1,0,,NA,T1,,,T2,Y,6,Small,,,NA,,1.197222016,2014-2016
"WHITTIER-CITY, WATER DEPT.",CA1910173,1,0,0,,0,,,0,64.23,1.016297468,,,,,,1,1,,NA,T3,,,T4,N,1,Large,,,NA,,,
WILSONA GARDENS MUTUAL,CA1900155,,2,0,,0,,,0,,0,,1,1,3,1,1,0,,NA,Unavailable,,,D1,N,3,Small,,,NA,,,
WINTERHAVEN MOBILE ESTATES,CA1900961,,16,2,1,15,2,2,2,,0,,1,1,1,1,1,1,,NA,None,,,T2,Y,6,Small,,,NA,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
